benchmark,dataset,instance_id,seed,agent,arm,run,verdict,cost_usd,num_turns,tool_calls,llm_calls,wall_secs,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,first_call_input_tokens,first_call_cache_read,cost_usd_adjusted,cache_floor_moved_tokens,agent_surface,agent_version,result_path
swebench,swebench-verified-mini,django__django-11815,1,claude,baseline,1,PASS,0.23587324999999998,15,8,27,77,235623,216327,4216,,12198,0,0.20824954999999998,10231,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11815_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-11815,1,claude,bash_only,1,PASS,0.18687394999999998,20,7,34,120,188661,177149,5977,,4628,3668,0.18687394999999998,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11815_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-11815,1,claude,onlycode,1,PASS,0.1670965,18,7,30,94,132674,120675,5623,,2817,1289,0.1670965,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11815_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-11848,1,claude,baseline,1,FAIL,0.06263025,6,1,11,31,77835,73955,1676,,11878,10231,0.06263025,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11848_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-11848,1,claude,bash_only,1,PASS,0.08665755000000001,10,4,17,44,71186,62806,2376,,4388,0,0.07675395000000002,3668,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11848_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-11848,1,claude,onlycode,1,PASS,0.06902335000000001,10,4,16,65,40338,35882,2683,,2577,1289,0.06902335000000001,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11848_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-11880,1,claude,baseline,1,PASS,0.04669005,5,1,8,23,63709,60536,1054,,11984,10231,0.04669005,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11880_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-11880,1,claude,bash_only,1,PASS,0.07180995,9,5,12,33,62179,53704,1540,,5685,0,0.06190635,3668,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11880_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-11880,1,claude,onlycode,1,PASS,0.05728405000000001,10,5,14,45,38861,34781,2011,,2683,1289,0.05728405000000001,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11880_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-11885,1,claude,baseline,1,PASS,1.00268745,44,16,85,384,1528002,1471364,23205,,12041,10231,1.00268745,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11885_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-11885,1,claude,bash_only,1,PASS,1.0197204999999998,39,15,64,470,1220774,1156200,28657,,4551,3668,1.0197204999999998,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11885_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-11885,1,claude,onlycode,1,PASS,0.5642879500000001,20,7,39,264,499952,449854,16002,,2740,1289,0.5642879500000001,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11885_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-11951,1,claude,baseline,1,PASS,0.07250329999999999,9,2,14,36,98677,93261,1566,,11890,10231,0.07250329999999999,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11951_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-11951,1,claude,bash_only,1,PASS,0.05057555,8,4,11,28,54340,50346,1318,,4400,3668,0.05057555,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11951_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-11951,1,claude,onlycode,1,PASS,0.0649852,9,5,13,39,42466,36104,1932,,2589,1289,0.0649852,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11951_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-11964,1,claude,baseline,1,PASS,0.5657472,16,63,87,234,310639,292427,5517,,12378,10231,0.5657472,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11964_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-11964,1,claude,bash_only,1,PASS,0.2674951,20,4,35,172,283120,263232,7515,,4888,3668,0.2674951,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11964_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-11964,1,claude,onlycode,1,PASS,0.18023275,19,10,30,124,172093,158340,5291,,3077,1289,0.18023275,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11964_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-11999,1,claude,baseline,1,PASS,0.1389889,7,13,21,64,96455,91370,2315,,11877,10231,0.1389889,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11999_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-11999,1,claude,bash_only,1,PASS,0.0725674,11,5,16,48,76795,72353,2231,,4387,3668,0.0725674,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11999_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-11999,1,claude,onlycode,1,PASS,0.09179124999999999,14,8,20,68,66196,59530,3175,,2576,1289,0.09179124999999999,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-11999_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12039,1,claude,baseline,1,PASS,0.09289465,8,2,14,48,125840,118628,1959,,12132,10231,0.09289465,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12039_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12039,1,claude,bash_only,1,PASS,0.07889035,9,2,16,43,68143,61412,2290,,4562,3668,0.07889035,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12039_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12039,1,claude,onlycode,1,PASS,0.14623474999999997,14,5,24,94,108837,97075,4771,,2751,1289,0.14623474999999997,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12039_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12050,1,claude,baseline,1,PASS,0.03261045,4,1,6,11,49505,46839,528,,11859,10231,0.03261045,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12050_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12050,1,claude,bash_only,1,PASS,0.03957854999999999,7,2,11,31,43257,40136,1013,,4289,3668,0.03957854999999999,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12050_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12050,1,claude,onlycode,1,PASS,0.043342500000000006,9,5,13,35,31072,27540,1375,,2475,1289,0.043342500000000006,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12050_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12143,1,claude,baseline,1,PASS,0.06113829999999999,8,3,11,43,91699,87811,1284,,12110,10231,0.06113829999999999,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12143_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12143,1,claude,bash_only,1,PASS,0.044397,7,2,11,57,44866,41390,1200,,4620,3668,0.044397,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12143_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12143,1,claude,onlycode,1,PASS,0.055547049999999994,11,6,15,41,42926,38861,1809,,2809,1289,0.055547049999999994,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12143_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12155,1,claude,baseline,1,FAIL,0.034536500000000005,4,2,5,20,49405,46810,667,,11915,10231,0.034536500000000005,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12155_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12155,1,claude,bash_only,1,FAIL,0.036005249999999996,6,2,9,21,36511,33515,930,,4425,3668,0.036005249999999996,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12155_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12155,1,claude,onlycode,1,FAIL,0.0528111,10,5,14,42,40189,35772,1612,,2614,1289,0.0528111,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12155_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12193,1,claude,baseline,1,FAIL,0.1241222,8,1,14,70,102932,95484,4454,,11887,10231,0.1241222,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12193_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12193,1,claude,bash_only,1,FAIL,0.09827975,12,3,20,58,85960,79965,3405,,4397,3668,0.09827975,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12193_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12193,1,claude,onlycode,1,FAIL,0.17054465,14,8,22,100,105509,92833,6255,,2586,1289,0.17054465,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12193_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12209,1,claude,baseline,1,FAIL,1.8423456,52,19,99,906,2533134,2462117,55772,,12014,10231,1.8423456,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12209_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12209,1,claude,bash_only,1,FAIL,1.7133811500000002,55,24,88,934,2085398,2012768,55760,,4524,0,1.7034775500000003,3668,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12209_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12209,1,claude,onlycode,1,FAIL,1.36123275,45,19,78,722,1491995,1429660,46478,,2713,0,1.35775245,1289,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12209_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12262,1,claude,baseline,1,PASS,0.15593025,9,3,14,75,136976,117180,3050,,11957,0,0.12830655,10231,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12262_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12262,1,claude,bash_only,1,PASS,0.08406759999999999,9,4,14,55,69141,63157,2793,,4467,3668,0.08406759999999999,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12262_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12262,1,claude,onlycode,1,PASS,0.13026925,19,12,26,145,105211,97140,4634,,2656,1289,0.13026925,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12262_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12273,1,claude,baseline,1,FAIL,1.1475879500000001,44,19,66,549,1586754,1538184,33548,,11999,10231,1.1475879500000001,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12273_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12273,1,claude,bash_only,1,FAIL,0.4653485,23,9,34,311,365387,339625,17738,,4509,3668,0.4653485,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12273_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12273,1,claude,onlycode,1,FAIL,0.35888860000000006,22,9,38,234,303748,281447,12630,,2698,0,0.35540830000000007,1289,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12273_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12276,1,claude,baseline,1,PASS,0.09772329999999999,11,4,17,39,160056,153746,1816,,11870,10231,0.09772329999999999,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12276_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12276,1,claude,bash_only,1,PASS,0.097168,15,7,22,53,113537,107090,2678,,4380,3668,0.097168,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12276_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12276,1,claude,onlycode,1,PASS,0.09744085000000001,13,8,18,67,69996,60837,2903,,2569,1289,0.09744085000000001,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12276_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12304,1,claude,baseline,1,PASS,0.17835545,14,3,26,86,216745,205724,4976,,11849,10231,0.17835545,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12304_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12304,1,claude,bash_only,1,PASS,0.17649979999999998,16,7,28,102,160084,147621,5654,,4359,3668,0.17649979999999998,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12304_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12304,1,claude,onlycode,1,PASS,0.18161815,21,9,37,141,163471,151768,6064,,2548,1289,0.18161815,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12304_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12308,1,claude,baseline,1,PASS,0.17951945,16,5,27,94,221786,211144,5042,,11814,10231,0.17951945,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12308_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12308,1,claude,bash_only,1,FAIL,0.12449030000000003,18,5,28,110,129910,122216,3889,,4324,3668,0.12449030000000003,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12308_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12308,1,claude,onlycode,1,FAIL,0.27073660000000005,29,17,44,156,301481,284237,7969,,2513,1289,0.27073660000000005,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12308_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12325,1,claude,baseline,1,FAIL,0.19859479999999996,13,3,21,107,181690,168701,6565,,11953,10231,0.19859479999999996,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12325_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12325,1,claude,bash_only,1,FAIL,0.1529888,16,6,24,101,142721,132666,4979,,4463,3668,0.1529888,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12325_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12325,1,claude,onlycode,1,FAIL,0.19455715,21,12,32,123,176300,163643,6439,,2652,1289,0.19455715,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12325_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12406,1,claude,baseline,1,FAIL,0.4546626000000001,15,35,60,258,237240,225064,5429,,12027,10231,0.4546626000000001,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12406_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12406,1,claude,bash_only,1,FAIL,0.28639840000000005,33,13,47,148,368727,352578,7948,,4537,3668,0.28639840000000005,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12406_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12406,1,claude,onlycode,1,FAIL,0.19286775,21,11,32,101,200258,185565,5378,,2726,1289,0.19286775,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12406_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12708,1,claude,baseline,1,PASS,0.12500605000000004,8,3,15,51,118448,111519,2262,,11952,10231,0.12500605000000004,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12708_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12708,1,claude,bash_only,1,PASS,0.0961119,12,5,19,59,104399,97208,2613,,4462,3668,0.0961119,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12708_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12708,1,claude,onlycode,1,PASS,0.37233070000000007,29,13,50,235,359333,335399,12040,,2651,1289,0.37233070000000007,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12708_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12713,1,claude,baseline,1,PASS,0.06888235,7,1,12,29,82711,77077,1600,,11776,10231,0.06888235,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12713_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12713,1,claude,bash_only,1,PASS,0.06715565,9,4,14,52,67056,62033,1938,,4286,3668,0.06715565,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12713_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12713,1,claude,onlycode,1,PASS,0.05579074999999999,8,4,12,31,32993,27925,1813,,2475,1289,0.05579074999999999,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12713_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-12774,1,claude,baseline,1,PASS,0.12997205,15,6,25,62,223242,216341,2552,,12067,10231,0.12997205,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12774_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-12774,1,claude,bash_only,1,PASS,0.10407689999999997,15,6,23,69,125998,118428,2616,,4577,3668,0.10407689999999997,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12774_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-12774,1,claude,onlycode,1,PASS,0.11311410000000001,18,10,27,87,102061,94512,3664,,2766,1289,0.11311410000000001,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-12774_onlycode_run1.jsonl
swebench,swebench-verified-mini,django__django-9296,1,claude,baseline,1,PASS,0.03344585,4,2,5,11,48866,46402,642,,11813,10231,0.03344585,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-9296_baseline_run1.jsonl
swebench,swebench-verified-mini,django__django-9296,1,claude,bash_only,1,PASS,0.041811549999999996,8,4,11,26,48981,46081,1097,,4323,3668,0.041811549999999996,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-9296_bash_only_run1.jsonl
swebench,swebench-verified-mini,django__django-9296,1,claude,onlycode,1,PASS,0.05225555,8,4,12,35,35848,30426,1436,,2512,1289,0.05225555,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/django__django-9296_onlycode_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-13859,1,claude,baseline,1,FAIL,0.3151722000000001,14,26,43,110,218449,198320,3680,,12028,0,0.2875485000000001,10231,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-13859_baseline_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-13859,1,claude,bash_only,1,FAIL,0.2241282,25,10,37,92,289565,272704,5221,,4458,3668,0.2241282,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-13859_bash_only_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-13859,1,claude,onlycode,1,FAIL,0.18212655,19,10,28,87,184917,169336,4770,,2647,0,0.17864625,1289,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-13859_onlycode_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-19763,1,claude,baseline,1,FAIL,0.19336935,7,1,13,145,131789,118172,7031,,12545,10231,0.19336935,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-19763_baseline_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-19763,1,claude,bash_only,1,FAIL,0.25801854999999996,13,5,22,163,186990,168336,9079,,5055,3668,0.25801854999999996,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-19763_bash_only_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-19763,1,claude,onlycode,1,FAIL,0.1294227,13,7,20,83,89612,79984,4490,,3244,1289,0.1294227,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-19763_onlycode_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-21042,1,claude,baseline,1,PASS,1.4220220999999997,61,26,97,638,2197887,2138602,37129,,12401,10231,1.4220220999999997,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-21042_baseline_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-21042,1,claude,bash_only,1,PASS,2.6987818000000003,108,65,165,1226,4876390,4782151,60637,,4911,0,2.6888782000000004,3668,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-21042_bash_only_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-21042,1,claude,onlycode,1,PASS,1.6959252999999999,71,42,107,802,2503015,2430231,46142,,3100,1289,1.6959252999999999,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-21042_onlycode_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-22767,1,claude,baseline,1,FAIL,0.10136640000000001,10,4,15,43,142471,136668,2512,,12087,10231,0.10136640000000001,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-22767_baseline_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-22767,1,claude,bash_only,1,FAIL,0.08021895,11,5,17,46,83067,77754,2403,,4597,3668,0.08021895,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-22767_bash_only_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-22767,1,claude,onlycode,1,FAIL,0.14206584999999997,16,7,27,92,111334,101042,4778,,2786,1289,0.14206584999999997,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-22767_onlycode_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-23088,1,claude,baseline,1,FAIL,1.5636112000000004,59,31,96,852,2305304,2241344,43329,,12632,10231,1.5636112000000004,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-23088_baseline_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-23088,1,claude,bash_only,1,FAIL,1.65351225,78,46,118,845,2433874,2360320,44545,,5142,0,1.64360865,3668,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-23088_bash_only_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-23088,1,claude,onlycode,1,FAIL,0.15697175,19,10,31,222,129445,118440,5210,,3331,1289,0.15697175,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-23088_onlycode_run1.jsonl
swebench,swebench-datasci-mini,matplotlib__matplotlib-23476,1,claude,baseline,1,FAIL,0.3712132,25,8,41,164,520284,499059,9342,,13003,10231,0.3712132,0,claude_code,2.1.139 (Claude Code),runs/swebench/full_run_seed_1/matplotlib__matplotlib-23476_baseline_run1.jsonl
