# source_commit: 050947f44fb7dec5793e05700cd01bdd5942ebfa
# generated: 2026-05-28T17:58:11Z
# generator: paper/data/scripts/paired_contrasts.py
# key_schema: benchmark:agent:contrast:metric
# default_precision: 4
# Paired per-instance contrasts. contrast='A-vs-B' means metric_A - metric_B computed within each instance, averaged across instances. wilcoxon_p is the paired Wilcoxon signed-rank two-sided p-value.
benchmark,agent,contrast,metric,mean_delta,se,ci_lo,ci_hi,wilcoxon_p,n_pairs,mean_a,mean_b
artifact,claude,code_only-vs-bash_only,cost_adj,-0.025718090860215054,0.0027400971340099203,-0.031088681242874498,-0.02034750047755561,7.365478099521982e-14,93,0.07884460322580646,0.1045626940860215
artifact,claude,code_only-vs-bash_only,turns,-0.7275985663082438,0.1576529583090667,-1.0365983645940147,-0.4185987680224731,3.930367584866769e-05,93,5.326164874551971,6.053763440860215
artifact,claude,code_only-vs-bash_only,tool_calls,-0.4121863799283154,0.14246049892020518,-0.6914089578119176,-0.13296380204471325,0.007288320007609938,93,2.6272401433691757,3.0394265232974913
artifact,claude,code_only-vs-bash_only,llm_calls,-1.1648745519713262,0.2195939116880028,-1.5952786188798116,-0.7344704850628407,1.6758479703433523e-06,93,7.240143369175628,8.405017921146953
artifact,claude,code_only-vs-bash_only,wall,4.229390681003585,2.9375965065027185,-1.5282984717417438,9.987079833748913,0.09065902298877114,93,45.007168458781365,40.77777777777778
artifact,claude,code_only-vs-bash_only,input_tokens,-22723.29390681004,1729.465761113137,-26113.046798591786,-19333.54101502829,1.615259826559344e-15,93,44842.913978494624,67566.20788530466
artifact,claude,code_only-vs-bash_only,cached_input_tokens,-17489.63799283154,1657.3668787874533,-20738.077075254947,-14241.198910408131,2.013293610805732e-14,93,36241.591397849465,53731.229390681
artifact,claude,code_only-vs-bash_only,output_tokens,-69.7741935483871,120.6227663094753,-306.1948155149587,166.64642841818448,0.7461124411633087,93,2373.3225806451615,2443.0967741935483
artifact,claude,tool_rich-vs-code_only,pass,0.010752688172043012,0.006140217642152267,-0.0012821384065754317,0.022787514750661455,0.0832645166635504,93,0.9856630824372761,0.9749103942652331
artifact,claude,tool_rich-vs-code_only,cost,0.04183697204301075,0.005816340112580817,0.030436945422352348,0.05323699866366915,2.696051253822097e-16,93,0.1218416752688172,0.08000470322580645
artifact,claude,tool_rich-vs-code_only,cost_adj,0.041315639784946234,0.005854405138827616,0.029841005712844107,0.05279027385704836,3.262373072556213e-16,93,0.12016024301075268,0.07884460322580646
artifact,claude,tool_rich-vs-code_only,turns,1.0465949820788532,0.1492445783096831,0.7540756085918743,1.339114355565832,7.220550561626881e-09,93,6.372759856630824,5.326164874551971
artifact,claude,tool_rich-vs-code_only,tool_calls,0.19354838709677424,0.16641890425067163,-0.13263266523454215,0.5197294394280907,0.1747205168632452,93,2.8207885304659497,2.6272401433691757
artifact,claude,tool_rich-vs-code_only,llm_calls,1.903225806451613,0.21383870552038053,1.4841019436316671,2.322349669271559,1.3393176010502623e-11,93,9.14336917562724,7.240143369175628
artifact,claude,tool_rich-vs-code_only,wall,18.480286738351257,16.229451881302175,-13.329438949001005,50.29001242570352,0.8978632237383464,93,63.48745519713261,45.007168458781365
artifact,claude,tool_rich-vs-code_only,input_tokens,73676.81362007168,4153.401172814151,65536.14732135595,81817.47991878742,5.5719648223844e-17,93,118519.7275985663,44842.913978494624
artifact,claude,tool_rich-vs-code_only,cached_input_tokens,70569.53046594982,3916.5001712470307,62893.190130305644,78245.870801594,5.5719648223844e-17,93,106811.12186379929,36241.591397849465
artifact,claude,tool_rich-vs-code_only,output_tokens,604.9784946236559,274.5678899678618,66.82543028664679,1143.1315589606652,0.14486187116837038,93,2978.3010752688174,2373.3225806451615
artifact,claude,tool_rich-vs-bash_only,pass,0.010752688172043012,0.00946824303559686,-0.007805068177726835,0.02931044452181286,0.25683925795785656,93,0.9856630824372761,0.9749103942652331
artifact,claude,tool_rich-vs-bash_only,cost,0.01595646505376344,0.005216704288272023,0.005731724648750276,0.026181205458776606,0.0004717067581482567,93,0.1218416752688172,0.10588521021505376
artifact,claude,tool_rich-vs-bash_only,cost_adj,0.015597548924731183,0.00528706789418487,0.0052348958521288395,0.025960201997333527,0.0032742085364069963,93,0.12016024301075268,0.1045626940860215
artifact,claude,tool_rich-vs-bash_only,turns,0.3189964157706094,0.10988658005979693,0.1036187188534074,0.5343741126878114,0.002650446524972168,93,6.372759856630824,6.053763440860215
artifact,claude,tool_rich-vs-bash_only,tool_calls,-0.2186379928315412,0.10032084828328691,-0.41526685546678355,-0.022009130196298854,0.013117898629499563,93,2.8207885304659497,3.0394265232974913
artifact,claude,tool_rich-vs-bash_only,llm_calls,0.7383512544802868,0.2154883666304804,0.3159940558845452,1.1607084530760283,0.00015829798524176033,93,9.14336917562724,8.405017921146953
artifact,claude,tool_rich-vs-bash_only,wall,22.70967741935484,15.941907475189256,-8.536461232016102,53.95581607072578,0.0003019048024228925,93,63.48745519713261,40.77777777777778
artifact,claude,tool_rich-vs-bash_only,input_tokens,50953.519713261645,4355.391834995766,42416.951716669944,59490.087709853346,5.5719648223844e-17,93,118519.7275985663,67566.20788530466
artifact,claude,tool_rich-vs-bash_only,cached_input_tokens,53079.89247311828,4087.322843492774,45068.73969987244,61091.04524636411,5.5719648223844e-17,93,106811.12186379929,53731.229390681
artifact,claude,tool_rich-vs-bash_only,output_tokens,535.2043010752689,234.2532204044649,76.06798908251761,994.34061306802,0.0990450469356562,93,2978.3010752688174,2443.0967741935483
artifact,claude,bash_only-vs-code_only,pass,5.968940992608369e-19,0.00882711902220627,-0.017301153283524287,0.017301153283524287,0.7388826803635273,93,0.9749103942652331,0.9749103942652331
artifact,claude,bash_only-vs-code_only,cost,0.025880506989247314,0.0028095857509902833,0.02037371891730636,0.03138729506118827,5.1853735284672225e-14,93,0.10588521021505376,0.08000470322580645
artifact,claude,bash_only-vs-code_only,cost_adj,0.025718090860215054,0.0027400971340099203,0.02034750047755561,0.031088681242874498,7.365478099521982e-14,93,0.1045626940860215,0.07884460322580646
artifact,claude,bash_only-vs-code_only,turns,0.7275985663082438,0.1576529583090667,0.4185987680224731,1.0365983645940147,3.930367584866769e-05,93,6.053763440860215,5.326164874551971
artifact,claude,bash_only-vs-code_only,tool_calls,0.4121863799283154,0.14246049892020518,0.13296380204471325,0.6914089578119176,0.007288320007609938,93,3.0394265232974913,2.6272401433691757
artifact,claude,bash_only-vs-code_only,llm_calls,1.1648745519713262,0.2195939116880028,0.7344704850628407,1.5952786188798116,1.6758479703433523e-06,93,8.405017921146953,7.240143369175628
artifact,claude,bash_only-vs-code_only,wall,-4.229390681003585,2.9375965065027185,-9.987079833748913,1.5282984717417438,0.09065902298877114,93,40.77777777777778,45.007168458781365
artifact,claude,bash_only-vs-code_only,input_tokens,22723.29390681004,1729.465761113137,19333.54101502829,26113.046798591786,1.615259826559344e-15,93,67566.20788530466,44842.913978494624
artifact,claude,bash_only-vs-code_only,cached_input_tokens,17489.63799283154,1657.3668787874533,14241.198910408131,20738.077075254947,2.013293610805732e-14,93,53731.229390681,36241.591397849465
artifact,claude,bash_only-vs-code_only,output_tokens,69.7741935483871,120.6227663094753,-166.64642841818448,306.1948155149587,0.7461124411633087,93,2443.0967741935483,2373.3225806451615
artifact,claude,bash_only-vs-tool_rich,pass,-0.010752688172043012,0.00946824303559686,-0.02931044452181286,0.007805068177726835,0.25683925795785656,93,0.9749103942652331,0.9856630824372761
artifact,claude,bash_only-vs-tool_rich,cost,-0.01595646505376344,0.005216704288272023,-0.026181205458776606,-0.005731724648750276,0.0004717067581482567,93,0.10588521021505376,0.1218416752688172
artifact,claude,bash_only-vs-tool_rich,cost_adj,-0.015597548924731183,0.00528706789418487,-0.025960201997333527,-0.0052348958521288395,0.0032742085364069963,93,0.1045626940860215,0.12016024301075268
artifact,claude,bash_only-vs-tool_rich,turns,-0.3189964157706094,0.10988658005979693,-0.5343741126878114,-0.1036187188534074,0.002650446524972168,93,6.053763440860215,6.372759856630824
artifact,claude,bash_only-vs-tool_rich,tool_calls,0.2186379928315412,0.10032084828328691,0.022009130196298854,0.41526685546678355,0.013117898629499563,93,3.0394265232974913,2.8207885304659497
artifact,claude,bash_only-vs-tool_rich,llm_calls,-0.7383512544802868,0.2154883666304804,-1.1607084530760283,-0.3159940558845452,0.00015829798524176033,93,8.405017921146953,9.14336917562724
artifact,claude,bash_only-vs-tool_rich,wall,-22.70967741935484,15.941907475189256,-53.95581607072578,8.536461232016102,0.0003019048024228925,93,40.77777777777778,63.48745519713261
artifact,claude,bash_only-vs-tool_rich,input_tokens,-50953.519713261645,4355.391834995766,-59490.087709853346,-42416.951716669944,5.5719648223844e-17,93,67566.20788530466,118519.7275985663
artifact,claude,bash_only-vs-tool_rich,cached_input_tokens,-53079.89247311828,4087.322843492774,-61091.04524636411,-45068.73969987244,5.5719648223844e-17,93,53731.229390681,106811.12186379929
artifact,claude,bash_only-vs-tool_rich,output_tokens,-535.2043010752689,234.2532204044649,-994.34061306802,-76.06798908251761,0.0990450469356562,93,2443.0967741935483,2978.3010752688174
artifact,codex,code_only-vs-tool_rich,pass,-0.003584229390681004,0.003584229390681004,-0.010609318996415772,0.003440860215053764,0.31731050786291415,93,0.9856630824372761,0.989247311827957
artifact,codex,code_only-vs-tool_rich,cost,-0.01327568817204301,0.003356913180051793,-0.019855238004944525,-0.006696138339141497,0.0003529675543496191,93,0.10062265591397848,0.11389834408602151
artifact,codex,code_only-vs-tool_rich,cost_adj,-0.019609623655913982,0.0030864687980983823,-0.02565910250018681,-0.013560144811641153,9.59079904906603e-09,93,0.08195117204301075,0.10156079569892473
artifact,codex,code_only-vs-tool_rich,turns,0.0,0.0,0.0,0.0,,93,1.0,1.0
artifact,codex,code_only-vs-tool_rich,tool_calls,-3.6774193548387095,0.18342940325780221,-4.0369409852240015,-3.317897724453417,5.621488757727188e-17,93,2.4050179211469533,6.082437275985662
artifact,codex,code_only-vs-tool_rich,llm_calls,-1.1612903225806452,0.12269514485982337,-1.401772806505899,-0.9208078386553914,4.266192743784519e-13,93,4.405017921146953,5.566308243727598
artifact,codex,code_only-vs-tool_rich,wall,-2.838709677419355,1.0880250821457955,-4.971238838425114,-0.7061805164135957,0.009939826401926559,93,37.39784946236559,40.236559139784944
artifact,codex,code_only-vs-tool_rich,input_tokens,-13225.437275985663,1521.544831657487,-16207.665146034338,-10243.209405936988,1.0133636945784823e-12,93,39493.215053763444,52718.65232974911
artifact,codex,code_only-vs-tool_rich,cached_input_tokens,-12886.250896057347,1415.0021218069217,-15659.655054798914,-10112.84673731578,3.250067210285668e-13,93,29593.232974910392,42479.48387096774
artifact,codex,code_only-vs-tool_rich,output_tokens,-127.49462365591398,37.20959606185433,-200.42543193714846,-54.56381537467951,0.0003586665859553561,93,1210.8709677419354,1338.3655913978494
artifact,codex,code_only-vs-bash_only,pass,0.025089605734767026,0.015488646318031662,-0.00526814104857503,0.05544735251810908,0.10247043485974937,93,0.9856630824372761,0.9605734767025089
artifact,codex,code_only-vs-bash_only,cost,0.006842591397849463,0.003895505934355839,-0.0007926002334879808,0.014477783029186907,0.018356587467393375,93,0.10062265591397848,0.09378006451612904
artifact,codex,code_only-vs-bash_only,cost_adj,-0.0058830860215053765,0.0035187677061483923,-0.012779870725556225,0.001013698682545472,0.25432836650864177,93,0.08195117204301075,0.08783425806451613
artifact,codex,code_only-vs-bash_only,turns,0.0,0.0,0.0,0.0,,93,1.0,1.0
artifact,codex,code_only-vs-bash_only,tool_calls,-1.2759856630824373,0.1910701673178337,-1.6504831910253914,-0.9014881351394832,5.703091213075495e-09,93,2.4050179211469533,3.6810035842293907
artifact,codex,code_only-vs-bash_only,llm_calls,-0.6379928315412187,0.14510308061660235,-0.9223948695497592,-0.3535907935326781,8.999113939583008e-05,93,4.405017921146953,5.043010752688172
artifact,codex,code_only-vs-bash_only,wall,0.7347670250896057,1.2941347163907257,-1.8017370190362167,3.271271069215428,0.05463621945310636,93,37.39784946236559,36.66308243727598
artifact,codex,code_only-vs-bash_only,input_tokens,-7385.258064516129,1901.5880390435434,-11112.370621041475,-3658.1455079907837,0.0013864138279823194,93,39493.215053763444,46878.47311827957
artifact,codex,code_only-vs-bash_only,cached_input_tokens,-9950.050179211468,1773.2836868501279,-13425.68620543772,-6474.414152985218,4.4558794718809804e-07,93,29593.232974910392,39543.28315412186
artifact,codex,code_only-vs-bash_only,output_tokens,-33.54480286738348,49.85125992981471,-131.2532723298203,64.16366659505334,0.6734077805112286,93,1210.8709677419354,1244.415770609319
artifact,codex,tool_rich-vs-code_only,pass,0.003584229390681004,0.003584229390681004,-0.003440860215053764,0.010609318996415772,0.31731050786291415,93,0.989247311827957,0.9856630824372761
artifact,codex,tool_rich-vs-code_only,cost,0.01327568817204301,0.003356913180051793,0.006696138339141497,0.019855238004944525,0.0003529675543496191,93,0.11389834408602151,0.10062265591397848
artifact,codex,tool_rich-vs-code_only,cost_adj,0.019609623655913982,0.0030864687980983823,0.013560144811641153,0.02565910250018681,9.59079904906603e-09,93,0.10156079569892473,0.08195117204301075
artifact,codex,tool_rich-vs-code_only,turns,0.0,0.0,0.0,0.0,,93,1.0,1.0
artifact,codex,tool_rich-vs-code_only,tool_calls,3.6774193548387095,0.18342940325780221,3.317897724453417,4.0369409852240015,5.621488757727188e-17,93,6.082437275985662,2.4050179211469533
artifact,codex,tool_rich-vs-code_only,llm_calls,1.1612903225806452,0.12269514485982337,0.9208078386553914,1.401772806505899,4.266192743784519e-13,93,5.566308243727598,4.405017921146953
artifact,codex,tool_rich-vs-code_only,wall,2.838709677419355,1.0880250821457955,0.7061805164135957,4.971238838425114,0.009939826401926559,93,40.236559139784944,37.39784946236559
artifact,codex,tool_rich-vs-code_only,input_tokens,13225.437275985663,1521.544831657487,10243.209405936988,16207.665146034338,1.0133636945784823e-12,93,52718.65232974911,39493.215053763444
artifact,codex,tool_rich-vs-code_only,cached_input_tokens,12886.250896057347,1415.0021218069217,10112.84673731578,15659.655054798914,3.250067210285668e-13,93,42479.48387096774,29593.232974910392
artifact,codex,tool_rich-vs-code_only,output_tokens,127.49462365591398,37.20959606185433,54.56381537467951,200.42543193714846,0.0003586665859553561,93,1338.3655913978494,1210.8709677419354
artifact,codex,tool_rich-vs-bash_only,pass,0.028673835125448032,0.014993907285556909,-0.0007142231542435068,0.05806189340513957,0.06559969214707187,93,0.989247311827957,0.9605734767025089
artifact,codex,tool_rich-vs-bash_only,cost,0.020118279569892476,0.0034427285883043292,0.01337053153681599,0.02686602760296896,1.1516411493904484e-07,93,0.11389834408602151,0.09378006451612904
artifact,codex,tool_rich-vs-bash_only,cost_adj,0.013726537634408604,0.0030478181439389574,0.007752814072288248,0.01970026119652896,2.708301786764986e-06,93,0.10156079569892473,0.08783425806451613
artifact,codex,tool_rich-vs-bash_only,turns,0.0,0.0,0.0,0.0,,93,1.0,1.0
artifact,codex,tool_rich-vs-bash_only,tool_calls,2.4014336917562726,0.18568862215080312,2.0374839923406984,2.765383391171847,5.933290490100965e-15,93,6.082437275985662,3.6810035842293907
artifact,codex,tool_rich-vs-bash_only,llm_calls,0.5232974910394265,0.12320055370822375,0.28182440577130796,0.764770576307545,2.1397141262351594e-05,93,5.566308243727598,5.043010752688172
artifact,codex,tool_rich-vs-bash_only,wall,3.57347670250896,1.1408104056673125,1.3374883074010278,5.809465097616893,3.413203849282763e-05,93,40.236559139784944,36.66308243727598
artifact,codex,tool_rich-vs-bash_only,input_tokens,5840.179211469534,1586.0550770488137,2731.511260453859,8948.847162485208,2.4376091641464967e-05,93,52718.65232974911,46878.47311827957
artifact,codex,tool_rich-vs-bash_only,cached_input_tokens,2936.2007168458786,1477.2461763437755,40.79821121207851,5831.603222479678,0.006443981721046865,93,42479.48387096774,39543.28315412186
artifact,codex,tool_rich-vs-bash_only,output_tokens,93.94982078853049,40.60082370492728,14.372206326873027,173.52743525018795,0.0004326463638144493,93,1338.3655913978494,1244.415770609319
artifact,codex,bash_only-vs-code_only,pass,-0.025089605734767026,0.015488646318031662,-0.05544735251810908,0.00526814104857503,0.10247043485974937,93,0.9605734767025089,0.9856630824372761
artifact,codex,bash_only-vs-code_only,cost,-0.006842591397849463,0.003895505934355839,-0.014477783029186907,0.0007926002334879808,0.018356587467393375,93,0.09378006451612904,0.10062265591397848
artifact,codex,bash_only-vs-code_only,cost_adj,0.0058830860215053765,0.0035187677061483923,-0.001013698682545472,0.012779870725556225,0.25432836650864177,93,0.08783425806451613,0.08195117204301075
artifact,codex,bash_only-vs-code_only,turns,0.0,0.0,0.0,0.0,,93,1.0,1.0
artifact,codex,bash_only-vs-code_only,tool_calls,1.2759856630824373,0.1910701673178337,0.9014881351394832,1.6504831910253914,5.703091213075495e-09,93,3.6810035842293907,2.4050179211469533
artifact,codex,bash_only-vs-code_only,llm_calls,0.6379928315412187,0.14510308061660235,0.3535907935326781,0.9223948695497592,8.999113939583008e-05,93,5.043010752688172,4.405017921146953
artifact,codex,bash_only-vs-code_only,wall,-0.7347670250896057,1.2941347163907257,-3.271271069215428,1.8017370190362167,0.05463621945310636,93,36.66308243727598,37.39784946236559
artifact,codex,bash_only-vs-code_only,input_tokens,7385.258064516129,1901.5880390435434,3658.1455079907837,11112.370621041475,0.0013864138279823194,93,46878.47311827957,39493.215053763444
artifact,codex,bash_only-vs-code_only,cached_input_tokens,9950.050179211468,1773.2836868501279,6474.414152985218,13425.68620543772,4.4558794718809804e-07,93,39543.28315412186,29593.232974910392
artifact,codex,bash_only-vs-code_only,output_tokens,33.54480286738348,49.85125992981471,-64.16366659505334,131.2532723298203,0.6734077805112286,93,1244.415770609319,1210.8709677419354
artifact,codex,bash_only-vs-tool_rich,pass,-0.028673835125448032,0.014993907285556909,-0.05806189340513957,0.0007142231542435068,0.06559969214707187,93,0.9605734767025089,0.989247311827957
artifact,codex,bash_only-vs-tool_rich,cost,-0.020118279569892476,0.0034427285883043292,-0.02686602760296896,-0.01337053153681599,1.1516411493904484e-07,93,0.09378006451612904,0.11389834408602151
artifact,codex,bash_only-vs-tool_rich,cost_adj,-0.013726537634408604,0.0030478181439389574,-0.01970026119652896,-0.007752814072288248,2.708301786764986e-06,93,0.08783425806451613,0.10156079569892473
artifact,codex,bash_only-vs-tool_rich,turns,0.0,0.0,0.0,0.0,,93,1.0,1.0
artifact,codex,bash_only-vs-tool_rich,tool_calls,-2.4014336917562726,0.18568862215080312,-2.765383391171847,-2.0374839923406984,5.933290490100965e-15,93,3.6810035842293907,6.082437275985662
artifact,codex,bash_only-vs-tool_rich,llm_calls,-0.5232974910394265,0.12320055370822375,-0.764770576307545,-0.28182440577130796,2.1397141262351594e-05,93,5.043010752688172,5.566308243727598
artifact,codex,bash_only-vs-tool_rich,wall,-3.57347670250896,1.1408104056673125,-5.809465097616893,-1.3374883074010278,3.413203849282763e-05,93,36.66308243727598,40.236559139784944
artifact,codex,bash_only-vs-tool_rich,input_tokens,-5840.179211469534,1586.0550770488137,-8948.847162485208,-2731.511260453859,2.4376091641464967e-05,93,46878.47311827957,52718.65232974911
artifact,codex,bash_only-vs-tool_rich,cached_input_tokens,-2936.2007168458786,1477.2461763437755,-5831.603222479678,-40.79821121207851,0.006443981721046865,93,39543.28315412186,42479.48387096774
artifact,codex,bash_only-vs-tool_rich,output_tokens,-93.94982078853049,40.60082370492728,-173.52743525018795,-14.372206326873027,0.0004326463638144493,93,1244.415770609319,1338.3655913978494
swebench,claude,baseline-vs-onlycode,pass,0.016666666666666666,0.020854366486931897,-0.02420789164771985,0.057541224981053185,0.4653605577573895,100,0.5166666666666666,0.5
swebench,claude,baseline-vs-onlycode,cost,-0.07074345491666671,0.04166606591367655,-0.15240894410747274,0.010922034274139333,0.21199007427742012,100,0.5166782718333333,0.58742172675
swebench,claude,baseline-vs-onlycode,cost_adj,-0.0739348504166667,0.04180262272085737,-0.15586799094954715,0.007998290116213752,0.1201551206319861,100,0.5121013848333333,0.58603623525
swebench,claude,baseline-vs-onlycode,turns,-9.621666666666666,1.2672975015170236,-12.105569769640033,-7.1377635636933,1.4125590270643421e-14,100,21.14,30.761666666666667
swebench,claude,baseline-vs-onlycode,tool_calls,-0.8766666666666666,1.0102466612161192,-2.85675012265026,1.103416789316927,0.012186538666010733,100,14.463333333333333,15.34
swebench,claude,baseline-vs-onlycode,llm_calls,-7.076666666666667,2.242672843167608,-11.472305439275178,-2.681027894058156,1.3721551561775522e-06,100,43.03333333333333,50.11
swebench,claude,baseline-vs-onlycode,wall,-54.49166666666667,16.003215756912407,-85.85796955021499,-23.12536378311835,1.48108657872466e-05,100,235.32,289.81166666666667
swebench,claude,baseline-vs-onlycode,input_tokens,-171054.65,85239.56958849131,-338124.20639344293,-3985.0936065570277,0.75175516524754,100,658613.79,829668.44
swebench,claude,baseline-vs-onlycode,cached_input_tokens,-165287.13833333334,84082.13948645693,-330088.13172678894,-486.1449398777622,0.8743284035131398,100,634933.1533333333,800220.2916666667
swebench,claude,baseline-vs-onlycode,output_tokens,-4439.821666666667,929.6089876547446,-6261.855282469966,-2617.788050863367,4.760390853563277e-10,100,11138.46,15578.281666666668
swebench,claude,baseline-vs-bash_only,pass,0.006666666666666665,0.01706921277304135,-0.026788990368494383,0.040122323701827715,0.9288541399869986,100,0.5166666666666666,0.51
swebench,claude,baseline-vs-bash_only,cost,-0.07025180916666668,0.04456936379364135,-0.15760776220220374,0.017104143868870367,0.42905212231325207,100,0.5166782718333333,0.586930081
swebench,claude,baseline-vs-bash_only,cost_adj,-0.07123992816666666,0.04475813012660052,-0.1589658632148037,0.016486006881470366,0.43307645328435596,100,0.5121013848333333,0.5833413129999999
swebench,claude,baseline-vs-bash_only,turns,-9.9,1.3074980176725826,-12.462696114638263,-7.337303885361738,9.031875794113331e-15,100,21.14,31.04
swebench,claude,baseline-vs-bash_only,tool_calls,0.5566666666666665,1.1001076878213294,-1.599544401463139,2.7128777347964723,0.10797532276323873,100,14.463333333333333,13.906666666666668
swebench,claude,baseline-vs-bash_only,llm_calls,-5.886666666666667,1.8372331952401904,-9.487643729337439,-2.285689603995894,8.340676846278369e-06,100,43.03333333333333,48.92
swebench,claude,baseline-vs-bash_only,wall,-43.14333333333333,18.36717553237397,-79.14299737678631,-7.14366928988035,0.005129215121142438,100,235.32,278.4633333333333
swebench,claude,baseline-vs-bash_only,input_tokens,-244606.07333333333,91077.74354740628,-423118.45068624965,-66093.69598041702,0.14488196639013398,100,658613.79,903219.8633333333
swebench,claude,baseline-vs-bash_only,cached_input_tokens,-239467.5,89923.00549348051,-415716.59076722176,-63218.40923277821,0.20330910373763922,100,634933.1533333333,874400.6533333333
swebench,claude,baseline-vs-bash_only,output_tokens,-3229.84,946.7699470559152,-5085.5090962295935,-1374.1709037704065,1.0479107909982653e-06,100,11138.46,14368.3
swebench,claude,onlycode-vs-baseline,pass,-0.016666666666666666,0.020854366486931897,-0.057541224981053185,0.02420789164771985,0.4653605577573895,100,0.5,0.5166666666666666
swebench,claude,onlycode-vs-baseline,cost,0.07074345491666671,0.04166606591367655,-0.010922034274139333,0.15240894410747274,0.21199007427742012,100,0.58742172675,0.5166782718333333
swebench,claude,onlycode-vs-baseline,cost_adj,0.0739348504166667,0.04180262272085737,-0.007998290116213752,0.15586799094954715,0.1201551206319861,100,0.58603623525,0.5121013848333333
swebench,claude,onlycode-vs-baseline,turns,9.621666666666666,1.2672975015170236,7.1377635636933,12.105569769640033,1.4125590270643421e-14,100,30.761666666666667,21.14
swebench,claude,onlycode-vs-baseline,tool_calls,0.8766666666666666,1.0102466612161192,-1.103416789316927,2.85675012265026,0.012186538666010733,100,15.34,14.463333333333333
swebench,claude,onlycode-vs-baseline,llm_calls,7.076666666666667,2.242672843167608,2.681027894058156,11.472305439275178,1.3721551561775522e-06,100,50.11,43.03333333333333
swebench,claude,onlycode-vs-baseline,wall,54.49166666666667,16.003215756912407,23.12536378311835,85.85796955021499,1.48108657872466e-05,100,289.81166666666667,235.32
swebench,claude,onlycode-vs-baseline,input_tokens,171054.65,85239.56958849131,3985.0936065570277,338124.20639344293,0.75175516524754,100,829668.44,658613.79
swebench,claude,onlycode-vs-baseline,cached_input_tokens,165287.13833333334,84082.13948645693,486.1449398777622,330088.13172678894,0.8743284035131398,100,800220.2916666667,634933.1533333333
swebench,claude,onlycode-vs-baseline,output_tokens,4439.821666666667,929.6089876547446,2617.788050863367,6261.855282469966,4.760390853563277e-10,100,15578.281666666668,11138.46
swebench,claude,onlycode-vs-bash_only,pass,-0.01,0.013776311424086751,-0.037001570391210034,0.01700157039121003,0.27933169311304207,100,0.5,0.51
swebench,claude,onlycode-vs-bash_only,cost,0.000491645750000033,0.03316673933911591,-0.06451516335466714,0.06549845485466721,0.3976487523328709,100,0.58742172675,0.586930081
swebench,claude,onlycode-vs-bash_only,cost_adj,0.0026949222500000296,0.03312994575384936,-0.062239771427544714,0.06762961592754477,0.24797695110160245,100,0.58603623525,0.5833413129999999
swebench,claude,onlycode-vs-bash_only,turns,-0.27833333333333343,0.9862154732085477,-2.211315660822087,1.65464899415542,0.6930634559700838,100,30.761666666666667,31.04
