event_id,user_id,region,login_at_utc
evt-000079,u-00225,us-east,2026-04-01T11:22:16Z
evt-000080,u-00189,us-east,2026-04-11T12:57:30Z
evt-000081,u-00087,us-east,2026-04-03T21:06:29Z
evt-000082,u-00145,us-east,2026-04-12T04:55:46Z
evt-000083,u-00002,us-east,2026-04-06T23:00:29Z
evt-000084,u-00187,us-east,2026-04-06T11:02:54Z
evt-000085,u-00207,eu-west,2026-04-10T21:38:03Z
evt-000086,u-00027,eu-west,2026-04-07T15:25:35Z
evt-000087,u-00025,eu-west,2026-04-10T05:45:12Z
evt-000088,u-00157,us-east,2026-04-01T03:17:09Z
evt-000089,u-00089,eu-west,2026-04-01T18:52:17Z
evt-000090,u-00164,us-east,2026-04-01T15:36:30Z
evt-000091,u-00085,us-east,2026-04-01T05:39:07Z
evt-000092,u-00082,us-east,2026-04-13T15:20:40Z
evt-000093,u-00081,us-east,2026-04-13T14:59:57Z
evt-000094,u-00061,eu-west,2026-04-02T00:14:13Z
evt-000095,u-00222,eu-west,2026-04-03T13:25:13Z
evt-000096,u-00247,eu-west,2026-04-03T06:44:50Z
evt-000097,u-00048,eu-west,2026-04-09T15:19:50Z
evt-000098,u-00075,eu-west,2026-04-01T06:02:33Z
evt-000099,u-00143,eu-west,2026-04-04T21:01:56Z
evt-000100,u-00081,us-east,2026-04-13T19:01:53Z
evt-000101,u-00060,eu-west,2026-04-14T04:16:28Z
evt-000102,u-00170,us-east,2026-04-09T01:46:34Z
evt-000103,u-00120,us-east,2026-04-09T14:02:37Z
evt-000104,u-00196,us-east,2026-04-05T20:54:18Z
evt-000105,u-00072,us-east,2026-04-04T19:31:06Z
evt-000106,u-00123,eu-west,2026-04-13T14:55:50Z
evt-000107,u-00109,us-east,2026-04-04T23:47:08Z
evt-000108,u-00084,eu-west,2026-04-11T18:05:05Z
evt-000109,u-00141,eu-west,2026-04-14T03:58:25Z
evt-000110,u-00045,eu-west,2026-04-05T11:40:58Z
evt-000111,u-00136,us-east,2026-04-05T16:56:35Z
evt-000112,u-00204,us-east,2026-04-09T07:25:25Z
evt-000113,u-00210,us-east,2026-04-11T02:18:06Z
evt-000114,u-00150,eu-west,2026-04-02T16:00:13Z
evt-000115,u-00202,eu-west,2026-04-14T14:24:21Z
evt-000116,u-00014,eu-west,2026-04-13T23:12:01Z
evt-000117,u-00021,eu-west,2026-04-10T17:13:43Z
evt-000118,u-00090,us-east,2026-04-03T11:30:13Z
evt-000119,u-00042,us-east,2026-04-14T19:58:18Z
